index	identifier	file	clip	scale	sum_stat	description
0	ENCFF281BWX	data/encode_rna/ENCFF281BWX.bigWig	768	0.3	sum_sqrt	RNA:aortic smooth muscle cell male adult (21 years) and male adult (54 years)
1	ENCFF168OLY	data/encode_rna/ENCFF168OLY.bigWig	768	0.3	sum_sqrt	RNA:bladder microvascular endothelial cell male adult (46 years) and male adult (60 years)
2	ENCFF442VHH	data/encode_rna/ENCFF442VHH.bigWig	768	0.3	sum_sqrt	RNA:smooth muscle cell of bladder female adult (53 years) and male adult (62 years)
3	ENCFF153YEN	data/encode_rna/ENCFF153YEN.bigWig	768	0.3	sum_sqrt	RNA:bronchial epithelial cell female adult (40 years) and male adult (68 years)
4	ENCFF383NTW	data/encode_rna/ENCFF383NTW.bigWig	768	0.3	sum_sqrt	RNA:bronchial smooth muscle cell male adult (52 years) and male adult (59 years)
5	ENCFF226UWU	data/encode_rna/ENCFF226UWU.bigWig	768	0.3	sum_sqrt	RNA:endothelial cell of coronary artery female adult (41 years) and male adult (77 years)
6	ENCFF537AIY	data/encode_rna/ENCFF537AIY.bigWig	768	0.3	sum_sqrt	RNA:smooth muscle cell of the coronary artery female adult (53 years) and male adult (55 years)
7	ENCFF263MKB	data/encode_rna/ENCFF263MKB.bigWig	768	0.3	sum_sqrt	RNA:regular cardiac myocyte female adult (51 years) and male adult (48 years)
8	ENCFF366CCB	data/encode_rna/ENCFF366CCB.bigWig	768	0.3	sum_sqrt	RNA:dermis blood vessel endothelial cell female child (16 years) and male child (13 years)
9	ENCFF805UDX	data/encode_rna/ENCFF805UDX.bigWig	768	0.3	sum_sqrt	RNA:dermis lymphatic vessel endothelial cell female adult (45 years) and male child (6 years)
10	ENCFF079OMS	data/encode_rna/ENCFF079OMS.bigWig	768	0.3	sum_sqrt	RNA:dermis microvascular lymphatic vessel endothelial cell female adult (38 years) and female adult (64 years)
11	ENCFF114NWW	data/encode_rna/ENCFF114NWW.bigWig	768	0.3	sum_sqrt	RNA:nasal cavity respiratory epithelium epithelial cell of viscerocranial mucosa female adult (70 years) and male adult (46 years)
12	ENCFF520FAO	data/encode_rna/ENCFF520FAO.bigWig	768	0.3	sum_sqrt	RNA:pulmonary artery endothelial cell male adult (23 years) and male adult (52 years)
13	ENCFF679XSO	data/encode_rna/ENCFF679XSO.bigWig	768	0.3	sum_sqrt	RNA:smooth muscle cell of the pulmonary artery male adult (26 years) and male adult (28 years)
14	ENCFF556PAF	data/encode_rna/ENCFF556PAF.bigWig	768	0.3	sum_sqrt	RNA:fibroblast of lung female adult (83 years) and male adult (23 years)
15	ENCFF618FQK	data/encode_rna/ENCFF618FQK.bigWig	768	0.3	sum_sqrt	RNA:lung microvascular endothelial cell female adult (55 years) and male adult (63 years)
16	ENCFF818OXF	data/encode_rna/ENCFF818OXF.bigWig	768	0.3	sum_sqrt	RNA:renal cortical epithelial cell female adult (69 years) and male adult (84 years)
17	ENCFF520NFI	data/encode_rna/ENCFF520NFI.bigWig	768	0.3	sum_sqrt	RNA:tracheal epithelial cell male adult (21 years) and male adult (68 years)
18	ENCFF749ZJH	data/encode_rna/ENCFF749ZJH.bigWig	768	0.3	sum_sqrt	RNA:smooth muscle cell of trachea male adult (28 years) and male adult (56 years)
19	ENCFF572FWT	data/encode_rna/ENCFF572FWT.bigWig	768	0.3	sum_sqrt	RNA:epithelial cell of umbilical artery female newborn and male newborn
20	ENCFF096HEZ	data/encode_rna/ENCFF096HEZ.bigWig	768	0.3	sum_sqrt	RNA:smooth muscle cell of the umbilical artery female newborn and male newborn
21	ENCFF360EXL	data/encode_rna/ENCFF360EXL.bigWig	768	0.3	sum_sqrt	RNA:uterine smooth muscle cell female adult (48 years) and female adult (50 years)
22	ENCFF470BSF	data/encode_rna/ENCFF470BSF.bigWig	768	0.3	sum_sqrt	RNA:GM12878
23	ENCFF617ZDV	data/encode_rna/ENCFF617ZDV.bigWig	768	0.3	sum_sqrt	RNA:GM12878
24	ENCFF993POP	data/encode_rna/ENCFF993POP.bigWig	768	0.3	sum_sqrt	RNA:GM12878
25	ENCFF678ITA	data/encode_rna/ENCFF678ITA.bigWig	768	0.3	sum_sqrt	RNA:GM12878
26	ENCFF812WIL	data/encode_rna/ENCFF812WIL.bigWig	768	0.3	sum_sqrt	RNA:GM12878
27	ENCFF142WGV	data/encode_rna/ENCFF142WGV.bigWig	768	0.3	sum_sqrt	RNA:GM12878
28	ENCFF980ZHM	data/encode_rna/ENCFF980ZHM.bigWig	768	0.3	sum_sqrt	RNA:K562
29	ENCFF132DVY	data/encode_rna/ENCFF132DVY.bigWig	768	0.3	sum_sqrt	RNA:K562
30	ENCFF919EXM	data/encode_rna/ENCFF919EXM.bigWig	768	0.3	sum_sqrt	RNA:K562
31	ENCFF552CYS	data/encode_rna/ENCFF552CYS.bigWig	768	0.3	sum_sqrt	RNA:K562
32	ENCFF991BRF	data/encode_rna/ENCFF991BRF.bigWig	768	0.3	sum_sqrt	RNA:K562
