index	identifier	file	clip	scale	sum_stat	description
0	ENCFF130ROA	data/encode_mouse_rna/ENCFF130ROA.bigWig	768	0.3	sum_sqrt	RNA:C3H10T1/2
1	ENCFF641HYO	data/encode_mouse_rna/ENCFF641HYO.bigWig	768	0.3	sum_sqrt	RNA:C2C12
2	ENCFF018XGZ	data/encode_mouse_rna/ENCFF018XGZ.bigWig	768	0.3	sum_sqrt	RNA:C3H10T1/2
3	ENCFF777WNL	data/encode_mouse_rna/ENCFF777WNL.bigWig	768	0.3	sum_sqrt	RNA:myocyte originated from C2C12
4	ENCFF798FMB	data/encode_mouse_rna/ENCFF798FMB.bigWig	768	0.3	sum_sqrt	RNA:C57BL/6J liver tissue adult (8 weeks)
5	ENCFF419YHB	data/encode_mouse_rna/ENCFF419YHB.bigWig	768	0.3	sum_sqrt	RNA:B10.H-2aH-4bp/Wts CH12.LX
6	ENCFF085QPW	data/encode_mouse_rna/ENCFF085QPW.bigWig	768	0.3	sum_sqrt	RNA:C57BL/6J colon tissue adult (8 weeks)
7	ENCFF558JWN	data/encode_mouse_rna/ENCFF558JWN.bigWig	768	0.3	sum_sqrt	RNA:C57BL/6J heart tissue adult (8 weeks)
8	ENCFF878WGQ	data/encode_mouse_rna/ENCFF878WGQ.bigWig	768	0.3	sum_sqrt	RNA:C57BL/6J kidney tissue adult (8 weeks)
9	ENCFF995EIJ	data/encode_mouse_rna/ENCFF995EIJ.bigWig	768	0.3	sum_sqrt	RNA:C57BL/6J liver tissue adult (8 weeks)
10	ENCFF070OKD	data/encode_mouse_rna/ENCFF070OKD.bigWig	768	0.3	sum_sqrt	RNA:C57BL/6J lung tissue adult (8 weeks)
11	ENCFF828PDL	data/encode_mouse_rna/ENCFF828PDL.bigWig	768	0.3	sum_sqrt	RNA:C57BL/6J spleen tissue adult (8 weeks)
12	ENCFF978UIY	data/encode_mouse_rna/ENCFF978UIY.bigWig	768	0.3	sum_sqrt	RNA:C57BL/6J thymus tissue adult (8 weeks)
13	ENCFF216HBX	data/encode_mouse_rna/ENCFF216HBX.bigWig	768	0.3	sum_sqrt	RNA:C57BL/6J testis tissue male adult (8 weeks)
14	ENCFF341NKU	data/encode_mouse_rna/ENCFF341NKU.bigWig	768	0.3	sum_sqrt	RNA:C57BL/6J adrenal gland tissue adult (8 weeks)
15	ENCFF721GSY	data/encode_mouse_rna/ENCFF721GSY.bigWig	768	0.3	sum_sqrt	RNA:C57BL/6J duodenum tissue adult (8 weeks)
